wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1228.5500,0,3.2505,4.3584e-09,1.5732,4.8237
1228.6000,0,3.2505,4.3575e-09,1.574,4.8245
1228.6500,0,3.2505,4.3567e-09,1.5749,4.8254
1228.7000,0,3.2505,4.3558e-09,1.5758,4.8263
1228.7500,0,3.2505,4.3549e-09,1.5766,4.8271
1228.8000,0,3.2505,4.354e-09,1.5775,4.828
1228.8500,0,3.2505,4.3531e-09,1.5918,4.8423
1228.9000,0,3.2505,4.3522e-09,1.6038,4.8543
1228.9500,0,3.2505,4.3513e-09,1.6047,4.8552
1229.0000,0,3.2505,4.3504e-09,1.6055,4.856
1229.0500,0,3.2505,4.3495e-09,1.6064,4.8569
1229.1000,0,3.2505,4.3486e-09,1.6162,4.8667
1229.1500,0,3.2505,4.3477e-09,1.6269,4.8774
1229.2000,0,3.2505,4.3468e-09,1.6278,4.8783
1229.2500,0,3.2505,4.3459e-09,1.6287,4.8792
1229.3000,0,3.2505,4.3449e-09,1.6296,4.8801
1229.3500,0,3.2505,4.344e-09,1.6305,4.881
1229.4000,0,3.2505,4.343e-09,1.6325,4.883
1229.4500,0,3.2505,4.3421e-09,1.6416,4.8921
1229.5000,0,3.2505,4.3412e-09,1.6427,4.8932
1229.5500,0,3.2505,4.3402e-09,1.6436,4.8941
1229.6000,0,3.2505,4.3393e-09,1.6444,4.8949
1229.6500,0,3.2505,4.3383e-09,1.6453,4.8958
1229.7000,0,3.2505,4.3373e-09,1.6462,4.8967
1229.7500,0,3.2505,4.3364e-09,1.6471,4.8976
1229.8000,0,3.2505,4.3354e-09,1.6567,4.9072
1229.8500,0,3.2505,4.3344e-09,1.6743,4.9248
1229.9000,0,3.2505,4.3334e-09,1.6752,4.9257
1229.9500,0,3.2505,4.3324e-09,1.6761,4.9266
1230.0000,0,3.2505,4.3314e-09,1.677,4.9275
1230.0500,0,3.2505,4.3305e-09,1.6779,4.9284
1230.1000,0,3.2505,4.3295e-09,1.6788,4.9293
1230.1500,0,3.2505,4.3284e-09,1.6797,4.9302
1230.2000,0,3.2505,4.3274e-09,1.696,4.9465
1230.2500,0,3.2505,4.3264e-09,1.7055,4.956
1230.3000,0,3.2505,4.3254e-09,1.7064,4.9569
1230.3500,0,3.2505,4.3244e-09,1.7074,4.9579
1230.4000,0,3.2505,4.3234e-09,1.7083,4.9588
1230.4500,0,3.2505,4.3223e-09,1.7092,4.9597
1230.5000,0,3.2505,4.3213e-09,1.7101,4.9606
1230.5500,0,3.2505,4.3203e-09,1.7113,4.9618
1230.6000,0,3.2505,4.3192e-09,1.7403,4.9908
1230.6500,0,3.2505,4.3182e-09,1.7427,4.9932
1230.7000,0,3.2505,4.3171e-09,1.7436,4.9941
1230.7500,0,3.2505,4.3161e-09,1.7446,4.9951
1230.8000,0,3.2505,4.315e-09,1.7455,4.996
1230.8500,0,3.2505,4.3139e-09,1.7464,4.9969
1230.9000,0,3.2505,4.3129e-09,1.7473,4.9978
1230.9500,0,3.2505,4.3118e-09,1.7582,5.0087
1231.0000,0,3.2505,4.3107e-09,1.7834,5.0339
1231.0500,0,3.2505,4.3096e-09,1.7843,5.0348
1231.1000,0,3.2505,4.3086e-09,1.7852,5.0357
1231.1500,0,3.2505,4.3075e-09,1.7862,5.0367
1231.2000,0,3.2505,4.3064e-09,1.7871,5.0376
1231.2500,0,3.2505,4.3053e-09,1.788,5.0385
1231.3000,0,3.2505,4.3042e-09,1.789,5.0395
1231.3500,0,3.2505,4.3031e-09,1.8121,5.0626
1231.4000,0,3.2505,4.302e-09,1.8292,5.0797
1231.4500,0,3.2505,4.3008e-09,1.8301,5.0806
1231.5000,0,3.2505,4.2997e-09,1.8311,5.0816
1231.5500,0,3.2505,4.2986e-09,1.832,5.0825
1231.6000,0,3.2505,4.2975e-09,1.833,5.0835
1231.6500,0,3.2505,4.2963e-09,1.8339,5.0844
1231.7000,0,3.2505,4.2952e-09,1.8352,5.0857
1231.7500,0,3.2505,4.2941e-09,1.8748,5.1253
1231.8000,0,3.2505,4.2929e-09,1.88,5.1305
1231.8500,0,3.2505,4.2918e-09,1.881,5.1315
1231.9000,0,3.2505,4.2906e-09,1.8819,5.1324
1231.9500,0,3.2505,4.2895e-09,1.8829,5.1334
1232.0000,0,3.2505,4.2883e-09,1.8839,5.1344
1232.0500,0,3.2505,4.2871e-09,1.8848,5.1353
1232.1000,0,3.2505,4.286e-09,1.8952,5.1457
1232.1500,0,3.2505,4.2848e-09,1.934,5.1845
1232.2000,0,3.2505,4.2836e-09,1.9349,5.1854
1232.2500,0,3.2505,4.2824e-09,1.9359,5.1864
1232.3000,0,3.2505,4.2812e-09,1.9369,5.1874
1232.3500,0,3.2505,4.28e-09,1.9379,5.1884
1232.4000,0,3.2505,4.2789e-09,1.9389,5.1894
1232.4500,0,3.2505,4.2777e-09,1.9399,5.1904
1232.5000,0,3.2505,4.2765e-09,1.9681,5.2186
1232.5500,0,3.2505,4.2752e-09,1.9933,5.2438
1232.6000,0,3.2505,4.274e-09,1.9943,5.2448
1232.6500,0,3.2505,4.2728e-09,1.9953,5.2458
1232.7000,0,3.2505,4.2716e-09,1.9963,5.2468
1232.7500,0,3.2505,4.2704e-09,1.9974,5.2479
1232.8000,0,3.2505,4.2691e-09,1.9984,5.2489
